sym_side,live_delta,live_gain,live_tim,live_dd,live_trades,live_source,overrides_json
USAR_SHORT,32.216635146594015,3.5668,27.96,9.78,294,continuous_baseline_daemon tradier:trb validated 2026-08-14T12:02:07Z,"{""AI_PREMARKET_SIZE_MULT_MAX"": 2.25, ""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": ""True"", ""BB_SQUEEZE_THRESHOLD_1H"": 0.03, ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKOUT_TF_SIZE_ENABLED"": ""True"", ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": ""True"", ""DELTA_EXIT_MIN_TF_LOST"": 2, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": ""True"", ""EXIT_MAX_HOLD_ENABLED"": ""True"", ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": ""False"", ""LR_BAND_ENTRY_ENABLED"": ""True"", ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": ""False"", ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""R1_USE_DC_4BAR"": ""False"", ""REENTRY_MANDATORY"": ""False"", ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": ""True"", ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
DELL_SHORT,28.77217590564457,-12.41499121258568,8.994082840236686,22.94868424882963,,,"{""AUGMENT_ENABLED"": true, ""AUGMENT_LEVELS_PCT"": [1.0, 2.0, 3.0, 4.0], ""BB_AUTO_TUNE_ENABLED"": false, ""BB_AUTO_TUNE_LOOKBACK"": 100, ""BB_AUTO_TUNE_MAX_MULT"": 3.5, ""BB_AUTO_TUNE_MIN_MULT"": 1.5, ""BB_BOT_THRESHOLD"": 0.05, ""BB_LEN_15m"": 20, ""BB_LEN_1h"": 20, ""BB_LEN_4h"": 20, ""BB_LEN_D"": 20, ""BB_LONG_ENTRY_MAX"": 0.2, ""BB_SHORT_ENTRY_MIN"": 0.8, ""BB_STD_15m"": 2.0, ""BB_STD_1h"": 2.0, ""BB_STD_4h"": 2.0, ""BB_STD_D"": 2.0, ""BB_TOP_THRESHOLD"": 0.95, ""BREAKOUT_HTF_MIN_ALIGNED"": 1, ""BREAKOUT_MIN_HOLD_BARS"": 1, ""BREAKOUT_PATH_ENABLED"": false, ""BT_ALL_TF_AGAINST_CLOSE_ENABLED"": true, ""BT_DC_BB_D_BREAK_REVERSE_ENABLED"": true, ""BT_RIDICULOUS_HOLD_GUARD_ENABLED"": true, ""BT_RIDICULOUS_HOLD_HOURS"": 48.0, ""BT_RIDICULOUS_LOSS_PCT"": -15.0, ""BT_UNDERWATER_HEDGE_OR_CLOSE_ENABLED"": true, ""BT_WT15M_AGAINST_FORCE_HEDGE_ENABLED"": true, ""COOLDOWN_BARS_15m"": 3, ""CT_WT_VELOCITY_1H_MIN"": 0.0, ""DC_PERIOD_15m"": 20, ""DC_PERIOD_1h"": 20, ""DC_PERIOD_4h"": 20, ""DC_PERIOD_D"": 20, ""DIVERGENCE_BLOCK_ENABLED"": true, ""DIVERGENCE_LB"": 20, ""ENTRY_BB_EXTREME_BOUNCE_ENABLED"": true, ""ENTRY_BB_EXTREME_THRESHOLD"": 0.1, ""ENTRY_BB_SQUEEZE_LOOKBACK"": 20, ""ENTRY_BB_SQUEEZE_RATIO"": 1.5, ""ENTRY_BB_SQUEEZE_RELEASE_ENABLED"": true, ""ENTRY_EMA_FAST"": 9, ""ENTRY_EMA_MID"": 21, ""ENTRY_EMA_RIBBON_ENABLED"": true, ""ENTRY_EMA_SLOW"": 50, ""ENTRY_FVG_ENABLED"": true, ""ENTRY_LIQ_SWEEP_ENABLED"": true, ""ENTRY_LIQ_SWEEP_LOOKBACK"": 10, ""ENTRY_MODE"": ""or"", ""ENTRY_NR7_ENABLED"": true, ""ENTRY_NR_LOOKBACK"": 7, ""ENTRY_VOL_SPIKE_ENABLED"": true, ""ENTRY_VOL_SPIKE_LOOKBACK"": 20, ""ENTRY_VOL_SPIKE_RATIO"": 2.0, ""ENTRY_WILLR_ENABLED"": true, ""ENTRY_WILLR_LOOKBACK"": 14, ""ENTRY_WILLR_OB_THRESHOLD"": -15.0, ""ENTRY_WILLR_OS_THRESHOLD"": -85.0, ""ENTRY_WT_CROSS_EVENT_ENABLED"": true, ""ENTRY_WT_CROSS_LOOKBACK"": 3, ""EXIT_REQUIRE_BOTH"": false, ""EXIT_STRUCT_TF"": ""None"", ""EXIT_WT_ACCEL_ONLY"": false, ""FOLLOW_THROUGH_MIN_MOVE_PCT"": 0.05, ""FOLLOW_THROUGH_REENTRY_ENABLED"": false, ""FOLLOW_THROUGH_WINDOW_BARS"": 5, ""FUNDING_GATE_ENABLED"": false, ""FUNDING_GATE_LONG_MAX"": 0.0005, ""FUNDING_GATE_SHORT_MIN"": -0.0005, ""HARD_LOSS_PCT"": 0.5, ""HARD_LOSS_PCT_ENABLED"": true, ""HEDGE_CYCLES_ENABLED"": true, ""HEDGE_ENABLED"": true, ""HEDGE_HTF_VETO_ENABLED"": false, ""HEDGE_SIZE_FRAC"": 0.5, ""HEDGE_TRIGGER_GAIN_PCT"": -0.5, ""HEDGE_TRIGGER_GAIN_PCT_ENABLED"": false, ""HEDGE_WT_TF"": ""15m"", ""HEDGE_WT_TRIGGER"": true, ""HIER_DC_BAND_PCT"": 0.2, ""HIER_RZ_BOT_BB"": 0.15, ""HIER_RZ_TOP_BB"": 0.85, ""HIER_USE_W_M"": false, ""HIER_WT_DELTA_MIN"": 0.0, ""HIER_WT_VEL_MIN"": 0.0, ""HTF_TREND_VETO_ENABLED"": false, ""K3M_FLOOR"": 25.0, ""LONG_STRUCT_EXIT_TF"": ""D"", ""LTF"": ""5m"", ""MIN_HOLD_BARS_15m"": 5, ""MIN_TFS_AGREE"": 3, ""MIN_TFS_AGREE_ENTRY"": 3, ""MIN_TFS_AGREE_EXIT"": 2, ""MIN_TFS_AGREE_REENTRY"": 2, ""MODE"": ""tradier"", ""NOLOSS_ENABLED"": true, ""OI_GATE_ENABLED"": false, ""OI_GATE_OI_CHANGE_MIN"": -10.0, ""PARTIAL_PROFIT_LOCK_ARM_GAIN_PCT"": 0.75, ""PARTIAL_PROFIT_LOCK_BE_BUFFER_PCT"": 0.1, ""PARTIAL_PROFIT_LOCK_ENABLED"": false, ""PARTIAL_PROFIT_LOCK_FRAC"": 0.5, ""PARTIAL_PROFIT_LOCK_GAIN_PCT"": 1.0, ""PEAK_GIVEBACK_FIXED_DROP_PCT"": 0.5, ""PEAK_GIVEBACK_FIXED_MIN_PEAK_PCT"": 0.1, ""PEAK_GIVEBACK_FIXED_PCT_ENABLED"": false, ""PEAK_PROTECT_ENABLED"": true, ""PEAK_PROTECT_REQUIRE_GAIN"": true, ""PRICE_ACTION_LB"": 3, ""REENTRY_GR_HLHH_MODE"": ""OR"", ""REENTRY_GR_MIN_TFS"": 2, ""REENTRY_MEAN_REV_ENABLED"": false, ""REENTRY_MEAN_REV_TOLERANCE_PCT"": 0.3, ""REENTRY_MEAN_REV_WINDOW_BARS"": 10, ""REQUIRE_ABOVE_SMA50_D"": false, ""REQUIRE_D_TREND"": true, ""REQUIRE_W_TREND"": false, ""REVERSE_ON_EXIT_ENABLED"": false, ""RZ_CASCADE_AT_RZ_BAND_PCT"": 1.0, ""RZ_CASCADE_EXIT_ANY_TF"": true, ""RZ_CASCADE_EXIT_MIN_REV_TFS"": 2, ""RZ_CASCADE_HIGH_LOOKBACK"": 20, ""RZ_CASCADE_MIN_TF_ALIGN"": 1, ""RZ_CASCADE_REQUIRE_NEW_HIGH"": false, ""RZ_CASCADE_USE_W_M"": false, ""RZ_CASCADE_VEL_MIN"": 0.1, ""RZ_CASCADE_WT_DELTA_MIN"": 0.1, ""SHORT_STRUCT_EXIT_TF"": ""15m"", ""SPY_REGIME_BLOCK_LONGS_BELOW"": true, ""SPY_REGIME_BLOCK_SHORTS_ABOVE"": false, ""SPY_REGIME_GATE_ENABLED"": false, ""USE_BB_FILTER"": true, ""USE_DC_BREAK"": true, ""USE_PRICE_ACTION_ENTRY"": false, ""USE_RZ_CASCADE"": false, ""USE_V8_AGGREGATORS"": false, ""USE_WT_CROSS"": true, ""USE_WT_DC_HIERARCHY"": false, ""WT_ACCEL_GATE_ENABLED"": true, ""WT_ACCEL_GATE_TF"": ""1h"", ""WT_AVG_15m"": 21, ""WT_AVG_1h"": 21, ""WT_AVG_4h"": 21, ""WT_AVG_D"": 21, ""WT_CHAN_15m"": 10, ""WT_CHAN_1h"": 10, ""WT_CHAN_4h"": 10, ""WT_CHAN_D"": 10, ""X7_ABS_FLOOR_PCT"": -8.0, ""X7_FREEZE_BB_TF"": """", ""X7_FREEZE_DC_TF"": ""4h"", ""X7_FROZEN_DC_STOP_ENABLED"": false}"
QBTS_SHORT,28.405109184698045,12.0427,21.17,13.83,82,continuous_baseline_daemon tradier:trb validated 2026-08-14T03:22:37Z,"{""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": true, ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKEVEN_EXIT_REQUIRE_WT15M_STRUCTURE"": false, ""BREAKOUT_TF_SIZE_ENABLED"": true, ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": true, ""DELTA_EXIT_MIN_TF_LOST"": 2, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": true, ""EXIT_MAX_HOLD_ENABLED"": true, ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": false, ""LR_BAND_ENTRY_ENABLED"": true, ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": false, ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""PEAK_GIVEBACK_PROTECTION_ENABLED"": true, ""R1_USE_DC_4BAR"": false, ""REENTRY_MANDATORY"": false, ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": true, ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
RBLX_SHORT,26.67601413616174,9.17,54.5,7.01,228,continuous_baseline_daemon tradier:trb validated 2026-08-19T13:43:44Z,"{""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": ""True"", ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKOUT_TF_SIZE_ENABLED"": ""True"", ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": ""True"", ""DELTA_EXIT_MIN_TF_LOST"": 2, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": ""True"", ""EXIT_MAX_HOLD_ENABLED"": ""True"", ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LIVE_INDICATOR_MAX_BARS_PER_TF"": 300, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": ""False"", ""LR_BAND_ENTRY_ENABLED"": ""True"", ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": ""False"", ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""R1_USE_DC_4BAR"": ""False"", ""REENTRY_MANDATORY"": ""False"", ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": ""True"", ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
GOOGL_SHORT,26.336002107024598,138.8069,51.38,9.94,4771,continuous_baseline_daemon tradier:trb validated 2026-08-14T04:39:54Z,"{""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BASIS_CONDITION"": false, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": true, ""BB_RSI_STOCH_BB_MAX"": 0.375, ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKOUT_TF_SIZE_ENABLED"": true, ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": true, ""DELTA_EXIT_MIN_TF_LOST"": 2, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": true, ""EXIT_MAX_HOLD_ENABLED"": true, ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": false, ""LR_BAND_ENTRY_ENABLED"": true, ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": false, ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""R1_USE_DC_4BAR"": false, ""REENTRY_MANDATORY"": false, ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": true, ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
STZ_LONG,24.98130258253832,8.0309,33.58,5.86,255,continuous_baseline_daemon tradier:trb validated 2026-08-14T12:03:37Z,"{""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": ""True"", ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKOUT_TF_SIZE_ENABLED"": ""True"", ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""CLENOW_ENABLED"": false, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": ""True"", ""DELTA_EXIT_MIN_TF_LOST"": 2, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": ""True"", ""EXIT_MAX_HOLD_ENABLED"": ""True"", ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": ""False"", ""LR_BAND_ENTRY_ENABLED"": ""True"", ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": ""False"", ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""R1_USE_DC_4BAR"": ""False"", ""REENTRY_MANDATORY"": ""False"", ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": ""True"", ""TF_FOCUS_WEIGHT"": 10.0, ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
UUUU_LONG,24.144740432754816,2.434,47.36,9.52,225,continuous_baseline_daemon tradier:trb validated 2026-08-19T13:45:23Z,"{""ATR_TRAIL_2X_EXIT_ENABLED"": true, ""BOUNCE_AUGMENT_DC_LOW_D_TOLERANCE"": true, ""BOUNCE_AUGMENT_MIN_LOSS_PCT"": true, ""CT_15M_MOMENTUM_GATE_ENABLED"": true, ""DC_EDGE_SIZING_MAX_MULT"": true, ""DC_EDGE_SIZING_PERIOD"": true, ""DELTA_PYRAMID_ACCEL_THRESHOLD"": true, ""LR_BAND_ENTRY_ENABLED"": true, ""MTF_ARROW_TRAIL_EXIT_ENABLED"": true, ""PYRAMID_ENABLED"": true, ""PYRAMID_MIN_WT_VEL_1H"": true, ""STOCH_CROSS_3M_EXIT_ENABLED"": true, ""STOP_LOSS_ENABLED"": true, ""WIN_TRAIL_EROSION_PCT"": 0.375}"
BWXT_LONG,23.504647996121122,94.3103,33.46,15.24,3482,continuous_baseline_daemon tradier:trb validated 2026-08-19T00:14:04Z,"{""LR_BAND_SLOPE_FLIP_MIN_PCT_DAY"": 0.0375, ""MOMENTUM_FADE_VOL_MIN_TRADIER"": 3.0, ""PROXIMITY_TOP_GATE_ENABLED"": false, ""TRADIER_RATIO_REQUIRE_MIN_GAIN"": false, ""WIN_TRAIL_EROSION_PCT"": 0.625, ""WT_3M_FORCE_OPEN_SIZE_USD"": 1875.0, ""WT_VEL_DECEL_RATIO"": 0.75}"
TSLA_SHORT,21.530828170007428,2.1642,77.95,23.51,278,continuous_baseline_daemon tradier:trb validated 2026-08-14T12:02:13Z,"{""DELTA_REENTRY_REQUIRE_NOT_EXITING"": false, ""HEDGE_HTF_VETO_ENABLED"": false, ""TRAILING_AUG_ENABLED_TRADIER"": true}"
TXN_SHORT,20.53,5.7997,,,130,central_db_vector_GOAL_20260813,"{""BREAKOUT_TF_SIZE_MULT_D"": 6.0}"
COHR_LONG,20.035559145284218,8.5751,41.35,16.3,712,continuous_baseline_daemon tradier:trb validated 2026-08-19T13:36:49Z,"{""ABLATION_DISABLE_HEDGE"": false, ""ATR_TRAIL_ENABLED_TRADIER"": false}"
CF_SHORT,18.852011939740898,10.4676,32.37,6.99,306,continuous_baseline_daemon tradier:trb validated 2026-08-13T21:14:07Z,"{""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BAND_SLOPE_SIZING_V2_SLOPE_NORM_PCT_DAY"": 0.75, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": true, ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKOUT_TF_SIZE_ENABLED"": true, ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": true, ""DELTA_EXIT_MIN_TF_LOST"": 2, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": true, ""EXIT_MAX_HOLD_ENABLED"": true, ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": false, ""LR_BAND_ENTRY_ENABLED"": true, ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": false, ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""R1_USE_DC_4BAR"": false, ""REENTRY_MANDATORY"": false, ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": true, ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
AU_LONG,12.092642433202684,288.4835,40.59,5.21,4575,continuous_baseline_daemon tradier:trb validated 2026-08-14T12:00:50Z,"{""AUGMENTATION_COOLDOWN_MINUTES"": 0, ""AUGMENTATION_COOLDOWN_SECONDS"": 0, ""BB_RECOVERY_EXIT_ENABLED_TRADIER"": ""True"", ""BOUNCE_TOP_MIN_HOLD_MINUTES"": 0, ""BREAKOUT_TF_SIZE_ENABLED"": ""True"", ""BREAKOUT_TF_SIZE_MULT_15M"": 1.0, ""COOLDOWN_BARS"": 10, ""COOLDOWN_BARS_TRADIER"": 10, ""DELTA_ENTRY_ENABLED"": ""True"", ""DELTA_EXIT_MIN_TF_LOST"": 2, ""D_TREND_REQUIRED"": true, ""ENTRY_SCORE_THRESHOLD"": 0, ""EXIT_CONV_FAIL_ENABLED"": ""True"", ""EXIT_MAX_HOLD_ENABLED"": ""True"", ""EXIT_SCORER_DC_EXTREME"": 1.2, ""GOLDEN_RULE_HTF_MIN_TFS"": 0, ""GOLDEN_RULE_MIN_IND"": 0, ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 0, ""HTF_ALIGN_REQUIRED_TRADIER"": 0, ""LIVE_ENTRY_ENGINE_MIN_SCORE"": 0, ""LOCAL_EXTREMES_MIN_SCORE"": 0, ""LR_BAND_E02_EXIT_ENABLED"": ""False"", ""LR_BAND_ENTRY_ENABLED"": ""True"", ""LR_BAND_LADDER_ORDINARY_PARITY_ENABLED"": ""False"", ""MAX_ALLOWED_DRAWDOWN_PCT"": 100, ""MIN_HOLD_BARS_BEFORE_EXIT"": 1, ""MIN_HOLD_MINUTES_TRADIER"": 0, ""R1_USE_DC_4BAR"": ""False"", ""REENTRY_MANDATORY"": ""False"", ""RSI_EXIT_LONG_TRADIER"": 42.5, ""RSI_EXIT_SHORT_TRADIER"": 58.0, ""STRUCTURAL_EXIT_GATE_ENABLED"": ""True"", ""TRADIER_DC_DAYTRADE_STOP_PCT"": 0.005, ""TRADIER_DC_DAYTRADE_TARGET_PCT"": 0.005, ""TRADIER_ENTRY_SCORE_THRESHOLD"": 0, ""TRA_MIN_HOLD_MINUTES"": 0, ""TRA_WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_ENTRY_K5M_MAX_LONG"": 100, ""WT_DC_ENTRY_K5M_MIN_SHORT"": 0, ""WT_DC_ENTRY_THRESHOLD"": 0, ""WT_DC_EXIT_THRESHOLD"": 75, ""WT_DC_HTF_GATE"": ""none""}"
