Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Timeframe,TF_Param,Value,Moves_Reference,Delta_vs_BH,Reference_Delta_vs_BH,Marginal_Delta,Gain_Pct,Trades,TIM_Pct,Max_DD_Pct,Pool_Sharpe,Behavior_Fingerprint,Reference_Fingerprint,Execution_Valid,Execution_Invalid_Reason,Pilot_Eligible,Pilot_Ineligible_Reason,Applied_Overrides_JSON
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,5/5 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,1h,,"""1h""",False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""1h"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":10.0,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,5/5 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,4h,,"""4h""",False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""4h"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":10.0,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,5/5 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,D,,"""D""",False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""D"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":10.0,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,3m,NATIVE_BASE_FIXED,false,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DC_BREAKOUT_TF"":""3m"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,3m,NATIVE_BASE_FIXED,true,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":true,""DC_BREAKOUT_TF"":""3m"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,15m,NATIVE_BASE_FIXED,false,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DC_BREAKOUT_TF"":""15m"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,15m,NATIVE_BASE_FIXED,true,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":true,""DC_BREAKOUT_TF"":""15m"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,1h,NATIVE_BASE_FIXED,false,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DC_BREAKOUT_TF"":""1h"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,1h,NATIVE_BASE_FIXED,true,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":true,""DC_BREAKOUT_TF"":""1h"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,4h,NATIVE_BASE_FIXED,false,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DC_BREAKOUT_TF"":""4h"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,4h,NATIVE_BASE_FIXED,true,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":true,""DC_BREAKOUT_TF"":""4h"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
DC_BREAKOUT_ENTRY_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INVALID,10/10 invalid executions,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,D,NATIVE_BASE_FIXED,false,False,,,0.0,,,,,,,,False,behavior fingerprint unavailable,False,no npz,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DC_BREAKOUT_ENTRY_ENABLED"":false,""DC_BREAKOUT_TF"":""D"",""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""EMA_TF_15M_ENABLED"":false,""EMA_TF_1H_ENABLED"":false,""EMA_TF_3M_ENABLED"":false,""EMA_TF_4H_ENABLED"":false,""EMA_TF_5M_ENABLED"":false,""EMA_TF_D_ENABLED"":false,""ENTRY_SCORE_THRESHOLD"":7.5,""HA_WICK_QUALITY_ENABLED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""MACD_ZERO_CROSS_ENABLED"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI2_MEAN_REVERSION_ENABLED"":false,""RSI_MACD_EMA_ENABLED"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""TRIPLE_CONF_ENABLED"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_3M_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
