sheet,row,switch,best_filter,best_delta,tim,valid
ENTRY_REVERSAL_BOUNCE,3,WT_15M_BOUNCE_OPEN_ENABLED,BTC_ACCEL_RAMP_REQUIRE_POSITIVE=0.0_ALT,35.5836,70.04,True
ENTRY_REVERSAL_BOUNCE,4,WT_15M_BOUNCE_OPEN_ENABLED,BANDAID_OFF_LOSER_RECOVER_PCT=0,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,5,BB_SQUEEZE_ENTRY_ENABLED,BANDAID_OFF_LOSER_RECOVER_PCT=0,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,6,BB_PULLBACK_GATE_TF,BB_PULLBACK_GATE_FILTER_TF=D,3.7596,31.74,True
ENTRY_REVERSAL_BOUNCE,7,BB_PULLBACK_GATE_TF,BB_PULLBACK_GATE_FILTER_TF=D,3.7596,31.74,True
ENTRY_REVERSAL_BOUNCE,8,BB_PULLBACK_GATE_TF,BB_PULLBACK_GATE_FILTER_TF=D,3.7596,31.74,True
ENTRY_REVERSAL_BOUNCE,9,BB_PULLBACK_GATE_TF,BB_PULLBACK_GATE_FILTER_TF=D,3.7596,31.74,True
ENTRY_REVERSAL_BOUNCE,10,BB_PULLBACK_GATE_TF,BB_PULLBACK_GATE_FILTER_TF=D,3.7596,31.74,True
ENTRY_REVERSAL_BOUNCE,11,DELTA_GATE_BB_SQUEEZE,ADX_RANGING_THRESHOLD=10,3.7596,31.74,True
ENTRY_REVERSAL_BOUNCE,12,BB_SQUEEZE_WIDTH_PERCENTILE,ADX_RANGING_THRESHOLD=20,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,13,BB_SQUEEZE_WIDTH_PERCENTILE,ADX_RANGING_THRESHOLD=20,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,14,BB_SQUEEZE_WIDTH_PERCENTILE,ADX_RANGING_THRESHOLD=20,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,15,BB_SQUEEZE_WIDTH_PERCENTILE,ADX_RANGING_THRESHOLD=20,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,16,BB_SQUEEZE_WIDTH_PERCENTILE,ADX_RANGING_THRESHOLD=20,2.5853,32.08,True
ENTRY_REVERSAL_BOUNCE,17,WT_DIV_EXIT_ENABLED,BANDAID_OFF_LOSER_RECOVER_PCT=0,2.5853,32.08,True
